"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ambulanse-midt.no","ambulanse-midt.no","http://www.ambulanse-midt.no","","Helse Midt-Norge Rhf","","Yes","dotgov","No","No","No","","","","","","No"
"ambulanseutdanning.no","ambulanseutdanning.no","http://ambulanseutdanning.no","","Helse Førde Hf","","No","dotgov","No","No","No","","","","","","No"
"amkbuskerud.no","amkbuskerud.no","http://www.amkbuskerud.no","","Vestre Viken Hf","","No","dotgov","No","No","No","","","","","","No"
"ammesenteret.no","ammesenteret.no","http://ammesenteret.no","","Oslo Universitetssykehus Hf","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"analinkontinensregisteret.no","analinkontinensregisteret.no","http://analinkontinensregisteret.no","","Universitetssykehuset Nord-Norge Hf","","Yes","dotgov","No","No","No","","","","","","No"
"analyseoversikten.no","analyseoversikten.no","http://analyseoversikten.no","","Helse Bergen Hf","","No","dotgov","No","No","No","","","","","","No"
"andaction.no","andaction.no","http://andaction.no","","Høgskolen I Nord-Trøndelag","","No","dotgov","No","No","No","","","","","","No"
"ankeutvalget.no","ankeutvalget.no","http://ankeutvalget.no","","Domstolene I Norge","","Yes","dotgov","No","No","No","","","","","","No"
"anleggsgartnertekniker.no","anleggsgartnertekniker.no","http://anleggsgartnertekniker.no","","Vea - Statens Fagskole For Gartnere og Blomsterdekoratører","","Yes","dotgov","No","No","No","","","","","","No"
"anleggsgartnerteknikker.no","anleggsgartnerteknikker.no","http://anleggsgartnerteknikker.no","","Vea - Statens Fagskole For Gartnere og Blomsterdekoratører","","Yes","dotgov","No","No","No","","","","","","No"
"anpr-no.no","anpr-no.no","http://www.anpr-no.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"anskaffelser.no","anskaffelser.no","https://www.anskaffelser.no","","Direktoratet For Forvaltning og Ikt","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"anskaffelsesakademiet.no","anskaffelsesakademiet.no","http://anskaffelsesakademiet.no","","Høgskolen I Molde","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"anstendigarbeidsliv.no","anstendigarbeidsliv.no","http://anstendigarbeidsliv.no","","Arbeids- og Sosialdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"ansvarlig.no","ansvarlig.no","http://www.ansvarlig.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
