"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"fosnabarnehage.no","fosnabarnehage.no","http://fosnabarnehage.no","","Kristiansund Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"fosnavaagkino.no","fosnavaagkino.no","http://fosnavaagkino.no","","Herøy Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"fosnavaagkonserthus.no","fosnavaagkonserthus.no","http://fosnavaagkonserthus.no","","Herøy Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"fosnavagkino.no","fosnavagkino.no","http://fosnavagkino.no","","Herøy Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"fosnavagkonserthus.no","fosnavagkonserthus.no","https://fosnavagkonserthus.no","","Herøy Kommune","Møre og Romsdal","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","Ready"
"fosnes.kommune.no","fosnes.kommune.no","http://www.fosnes.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"fossekleiva.no","fossekleiva.no","https://fossekleiva.no","","Svelvik Kommune","Vestfold","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"fossekleivakultursenter.no","fossekleivakultursenter.no","https://fossekleivakultursenter.no","","Svelvik Kommune","Vestfold","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"fossenbarnehage.no","fossenbarnehage.no","http://www.fossenbarnehage.no","","Kåfjord Kommune Gaivuona Suohkan","Troms","No","dotgov","No","No","No","","","","","","No"
"fossum-bofellesskap.no","fossum-bofellesskap.no","http://www.fossum-bofellesskap.no","","Eidsberg Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"fossumaktivitetshus.no","fossumaktivitetshus.no","http://fossumaktivitetshus.no","","Oslo Kommune Bydel 11 Stovner","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"fosterheim.no","fosterheim.no","http://fosterheim.no","","Barne-, Ungdoms- og Familiedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"fosterhjem.no","fosterhjem.no","http://fosterhjem.no","","Barne-, Ungdoms- og Familiedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
