"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"vadsoungdomsskole.no","vadsoungdomsskole.no","http://vadsoungdomsskole.no","","Vadsø Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"vaf.no","vaf.no","https://vaf.no","","Vest-Agder Fylkeskommune","Vest-Agder","Yes","dotgov","No","Yes","No","No","Yes","Yes","No","Yes","No"
"vafk.no","vafk.no","http://vafk.no","","Vest-Agder Fylkeskommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"vaga.kommune.no","vaga.kommune.no","http://www.vaga.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"vagahelsesenter.no","vagahelsesenter.no","http://www.vagahelsesenter.no","","Vågå Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"vagan.kommune.no","vagan.kommune.no","https://vagan.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"vaganeiendom.no","vaganeiendom.no","http://www.vaganeiendom.no","","Vågan Eiendom Kf","Nordland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"vagankulturskole.no","vagankulturskole.no","http://www.vagankulturskole.no","","Vågan Kommune","Nordland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"vagaskulane.no","vagaskulane.no","http://vagaskulane.no","","Vågå Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"vagaskulen.no","vagaskulen.no","http://vagaskulen.no","","Vågå Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"vagsbygd.vgs.no","vagsbygd.vgs.no","http://vagsbygd.vgs.no","","Vest-Agder Fylkeskommune Utdanningsavdelingen","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
"vagsbygdmenighet.no","vagsbygdmenighet.no","http://vagsbygdmenighet.no","","Vågsbygd Sokn","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
"vagsbygdvgsbibl.no","vagsbygdvgsbibl.no","http://vagsbygdvgsbibl.no","","Vest-Agder Fylkeskommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"vagsoy.kommune.no","vagsoy.kommune.no","https://vagsoy.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"vaksdal.kommune.no","vaksdal.kommune.no","http://www.vaksdal.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"vaksdalbibliotek.no","vaksdalbibliotek.no","http://www.vaksdalbibliotek.no","","Vaksdal Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"vaksdalkulturskule.no","vaksdalkulturskule.no","http://vaksdalkulturskule.no","","Vaksdal Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"vaktmesterbok.no","vaktmesterbok.no","http://vaktmesterbok.no","","Ringsaker Kommune","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"valderoyb.no","valderoyb.no","http://valderoyb.no","","Giske Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"valdres.museum.no","valdres.museum.no","http://valdres.museum.no","","Valdresmusea AS","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"valdres.no","valdres.no","https://www.valdres.no","","Valdres Natur- og Kulturpark","Oppland","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"valdresbiblioteka.no","valdresbiblioteka.no","http://www.valdresbiblioteka.no","","Nord-Aurdal Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"valdresfestival.no","valdresfestival.no","http://valdresfestival.no","","Nord-Aurdal Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"valdresfriluftsrad.no","valdresfriluftsrad.no","http://valdresfriluftsrad.no","","Valdres Natur- og Kulturpark","Oppland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"valdreslokalmedisinskesenter.no","valdreslokalmedisinskesenter.no","http://valdreslokalmedisinskesenter.no","","Nord-Aurdal Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"valdresmusea.no","valdresmusea.no","http://valdresmusea.no","","Valdresmusea AS","Oppland","No","dotgov","No","No","No","","","","","","No"
"valdresviserveg.no","valdresviserveg.no","http://www.valdresviserveg.no","","Sør-Aurdal Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"valensjukehus.no","valensjukehus.no","http://valensjukehus.no","","Hordaland Fylkeskommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"valer-of.kommune.no","valer-of.kommune.no","https://www.valer-of.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"valerbhg.no","valerbhg.no","http://valerbhg.no","","Våler Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"valerengakirke.no","valerengakirke.no","http://valerengakirke.no","","Gamlebyen og Grønland Sokn","Oslo","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"valerkirken.no","valerkirken.no","http://valerkirken.no","","Våler Kirkelige Fellesråd","Hedmark","No","dotgov","No","No","No","","","","","","No"
"valerlegesenter.no","valerlegesenter.no","http://valerlegesenter.no","","Våler Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"valerskolen.no","valerskolen.no","http://valerskolen.no","","Våler Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"valgostfold.no","valgostfold.no","http://valgostfold.no","","Østfold Fylkeskommune","Østfold","Yes","dotgov","No","No","No","","","","","","No"
"valhallklima.no","valhallklima.no","http://www.valhallklima.no","","Regionrådet For Hallingdal","Buskerud","No","dotgov","No","No","No","","","","","","No"
"valldalil.no","valldalil.no","http://valldalil.no","","Norddal Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"valle.kommune.no","valle.kommune.no","http://www.valle.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"valleskule.no","valleskule.no","http://valleskule.no","","Valle Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"vallevgs.no","vallevgs.no","http://vallevgs.no","","Oppland Fylkeskommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"valstrand.no","valstrand.no","http://valstrand.no","","Birkenes Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"vandreboka.no","vandreboka.no","http://www.vandreboka.no","","Oppland Fylkeskommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"vang.folkebibl.no","vang.folkebibl.no","http://www.vang.folkebibl.no","","Vang Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"vang.kommune.no","vang.kommune.no","https://www.vang.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"vangenskule.no","vangenskule.no","http://www.vangenskule.no","","Voss Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"vanglegekontor.no","vanglegekontor.no","http://vanglegekontor.no","","Vang Kommune","Oppland","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"vannkrafta.no","vannkrafta.no","http://vannkrafta.no","","Norsk Vasskraft- og Industristadmuseum","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"vannkraften.no","vannkraften.no","http://vannkraften.no","","Norsk Vasskraft- og Industristadmuseum","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"vannvag.no","vannvag.no","http://vannvag.no","","Karlsøy Kommune","Troms","No","dotgov","No","No","No","","","","","","No"
"vannvei.no","vannvei.no","http://vannvei.no","","Stiftelsen Fetsund Lenser Fløtnings Museum og Naturinformasjonssenter","Akershus","No","dotgov","No","No","No","","","","","","No"
"vansjoreg.no","vansjoreg.no","http://vansjoreg.no","","Moss Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"vanvikan.no","vanvikan.no","http://vanvikan.no","","Leksvik Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"vanvikanskole.no","vanvikanskole.no","http://vanvikanskole.no","","Leksvik Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"vanylven.kommune.no","vanylven.kommune.no","https://www.vanylven.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"varangermuseum.no","varangermuseum.no","http://www.varangermuseum.no","","Varanger Museum Iks","Finnmark","No","dotgov","No","No","No","","","","","","No"
"varangertonen.no","varangertonen.no","http://www.varangertonen.no","","Sør-Varanger Kommune","Finnmark","Yes","dotgov","No","No","No","No","Yes","No","No","No","No"
"vardaasen-skisenter.no","vardaasen-skisenter.no","http://www.vardaasen-skisenter.no","","Asker Kommune","Akershus","No","dotgov","No","No","No","","","","","","No"
"vardeneset-menighet.no","vardeneset-menighet.no","http://vardeneset-menighet.no","","Vardeneset Sokn","Rogaland","No","dotgov","No","No","No","","","","","","No"
"vardenungdomsskole.no","vardenungdomsskole.no","http://vardenungdomsskole.no","","Sandefjord Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"vardetangen.no","vardetangen.no","http://vardetangen.no","","Austrheim Kommune","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"vardo.kommune.no","vardo.kommune.no","http://vardo.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
